Post_Link_ID,Question_Score,Question_Title,Question_Content,Answer,Tags
50607128,47,Creating a nested dictionary from a flattened dictionary,"<p>I have a flattened dictionary which I want to make into a nested one, of the form</p>

<pre><code>flat = {'X_a_one': 10,
        'X_a_two': 20, 
        'X_b_one': 10,
        'X_b_two': 20, 
        'Y_a_one': 10,
        'Y_a_two': 20,
        'Y_b_one': 10,
        'Y_b_two': 20}
</code></pre>

<p>I want to convert it to the form</p>

<pre><code>nested = {'X': {'a': {'one': 10,
                      'two': 20}, 
                'b': {'one': 10,
                      'two': 20}}, 
          'Y': {'a': {'one': 10,
                      'two': 20},
                'b': {'one': 10,
                      'two': 20}}}
</code></pre>

<p>The structure of the flat dictionary is such that there should not be any problems with ambiguities. I want it to work for dictionaries of arbitrary depth, but performance is not really an issue. I've seen lots of methods for flattening a nested dictionary, but basically none for nesting a flattened dictionary. The values stored in the dictionary are either scalars or strings, never iterables.</p>

<p>So far I have got something which can take the input </p>

<pre><code>test_dict = {'X_a_one': '10',
             'X_b_one': '10',
             'X_c_one': '10'}
</code></pre>

<p>to the output</p>

<pre><code>test_out = {'X': {'a_one': '10', 
                  'b_one': '10', 
                  'c_one': '10'}}
</code></pre>

<p>using the code</p>

<pre><code>def nest_once(inp_dict):
    out = {}
    if isinstance(inp_dict, dict):
        for key, val in inp_dict.items():
            if '_' in key:
                head, tail = key.split('_', 1)

                if head not in out.keys():
                    out[head] = {tail: val}
                else:
                    out[head].update({tail: val})
            else:
                out[key] = val
    return out

test_out = nest_once(test_dict)
</code></pre>

<p>But I'm having trouble working out how to make this into something which recursively creates all levels of the dictionary.</p>

<p>Any help would be appreciated!</p>

<p>(As for why I want to do this: I have a file whose structure is equivalent to a nested dict, and I want to store this file's contents in the attributes dictionary of a NetCDF file and retrieve it later. However NetCDF only allows you to put flat dictionaries as the attributes, so I want to unflatten the dictionary I previously stored in the NetCDF file.)</p>
","def nest_dict(flat):
    result = {}
    for k, v in flat.items():
        _nest_dict_rec(k, v, result)
    return result

def _nest_dict_rec(k, v, out):
    k, *rest = k.split('_', 1)
    if rest:
        _nest_dict_rec(rest[0], v, out.setdefault(k, {}))
    else:
        out[k] = v

flat = {'X_a_one': 10,
        'X_a_two': 20, 
        'X_b_one': 10,
        'X_b_two': 20, 
        'Y_a_one': 10,
        'Y_a_two': 20,
        'Y_b_one': 10,
        'Y_b_two': 20}
nested = {'X': {'a': {'one': 10,
                      'two': 20}, 
                'b': {'one': 10,
                      'two': 20}}, 
          'Y': {'a': {'one': 10,
                      'two': 20},
                'b': {'one': 10,
                      'two': 20}}}
print(nest_dict(flat) == nested)
# True
",<python><dictionary><recursion><nested><netcdf>
41966568,9,Using regex to replace file data,"<p>With some help from <a href=""https://stackoverflow.com/questions/41902759/comparing-files-once-i-have-hostname/41907794?noredirect=1#comment71068443_41907794"">here</a> , I have this working almost exactly the way I want. Now I need to be able to add the ability to remove data from a <strong>file before the files are compared</strong>.</p>

<p>The reason for this is the strings, ""data"", that i'm removing is known to differ each time the file is saved.</p>

<p>I have written a regex to select the exact text that I want to remove, but I am having trouble implementing it with my current code.</p>

<p><strong>Here are the three main functions</strong></p>

<pre><code>HOSTNAME_RE = re.compile(r'hostname +(\S+)')
def get_file_info_from_lines(filename, file_lines):
    hostname = None
    a_hash = hashlib.sha1()
    for line in file_lines:
        a_hash.update(line.encode('utf-8'))
        match = HOSTNAME_RE.match(line)
        if match:
            hostname = match.group(1)
    return hostname, filename, a_hash.hexdigest()

def get_file_info(filename):
    if filename.endswith(('.cfg', '.startup', '.confg')):
        with open(filename, ""r+"") as in_file:
            #filename = re.sub(REMOVE_RE, subst, filename, 0, re.MULTILINE)
            return get_file_info_from_lines(filename, in_file.readlines())

def hostname_parse(directory):
    results = {}
    i = 0
    l = len(os.listdir(directory))
    for filename in os.listdir(directory):
        filename = os.path.join(directory, filename)
        sleep(0.001)
        i += 1
        progress_bar(i, l, prefix = 'Progress:', suffix = 'Complete', barLength = 50)
        info = get_file_info(filename)
        if info is not None:
            results[info[0]] = info
    return results
</code></pre>

<p><strong>This is the regex for finding the strings to be removed.</strong></p>

<pre><code>REMOVE_RE = r""((?:\bCurrent configuration)(?:.*\n?){6})""
subst = """"
</code></pre>

<p><strong>EXAMPLE_FILE_BEFORE_DATA_REMOVED:</strong></p>

<pre><code>Building configuration...

Current configuration : 45617 bytes
!
! Last configuration change at 00:22:36 UTC Sun Jan 22 2017 by user
! NVRAM config last updated at 00:22:43 UTC Sun Jan 22 2017 by user
!
version 15.0
no service pad
!
no logging console
enable secret 5 ***encrypted password***
!
username admin privilege 15 password 7 ***encrypted password***
username sadmin privilege 15 secret 5 ***encrypted password***
aaa new-model
!
ip ftp username ***encrypted password***
ip ftp password 7 ***encrypted password***
ip ssh version 2
!
line con 0
 password 7 ***encrypted password***
 login authentication maint
line vty 0 4
 password 7 ***encrypted password***
 length 0
 transport input ssh
line vty 5 15
 password 7 ***encrypted password***
 transport input ssh
!
</code></pre>

<p><strong>EXAMPLE_FILE_AFTER_DATA_REMOVED:</strong></p>

<pre><code>Building configuration...

!
no service pad
!
no logging console
enable 
!
username admin privilege 15 
username gisadmin privilege 15 
aaa new-model
!
ip ftp username cfgftp
ip ftp 
ip ssh version 2
!
line con 0

 login authentication maint
line vty 0 4

 length 0
 transport input ssh
line vty 5 15

 transport input ssh
!
</code></pre>

<p>I've tried doing something like #filename = re.sub(REMOVE_RE, subst, filename, 0, re.MULTILINE) within the get_file_info and get_file_info_from_lines but I'm obviously not implementing it correctly.</p>

<p>Any help would be appreciated as I am just learning.</p>

<p><strong>Running the Compare:</strong></p>

<pre><code>results1 = hostname_parse('test1.txt')
results2 = hostname_parse('test2.txt')



for hostname, filename, filehash in results1.values():
    if hostname in results2:
        _, filename2, filehash2 = results2[hostname]
        if filehash != filehash2:
            print(""%s has a change (%s, %s)"" % (
                hostname, filehash, filehash2))
            print(filename)
            print(filename2)
            print()
</code></pre>

<p>I do not want to modify the current file. If all of this can be done in memory or a temporary file would be great.</p>

<p><strong>FULL CODE:</strong></p>

<pre><code>import hashlib
import os
import re


HOSTNAME_RE = re.compile(r'hostname +(\S+)')
REMOVE_RE = re.compile(r""((?:\bCurrent configuration)(?:.*\n?){6})"")


def get_file_info_from_lines(filename, file_lines):
    hostname = None
    a_hash = hashlib.sha1()
    for line in file_lines:
        #match = HOSTNAME_RE.match(line)
        if not re.match(REMOVE_RE, line):
            a_hash.update(line.encode('utf-8'))
        #=======================================================================
        # if match:
        #     hostname = match.group(1)
        #=======================================================================
    return hostname, filename, a_hash.hexdigest()

def get_file_info(filename):
    if filename.endswith(('.cfg', '.startup', '.confg')):
        with open(filename, ""r+"") as in_file:
            return get_file_info_from_lines(filename, in_file.readlines())

def hostname_parse(directory):
    results = {}
    for filename in os.listdir(directory):
        filename = os.path.join(directory, filename)
        info = get_file_info(filename)
        if info is not None:
            results[info[0]] = info
    return results


results1 = hostname_parse('test1') #Directory of test files
results2 = hostname_parse('test2') #Directory of test files 2



for hostname, filename, filehash in results1.values():
    if hostname in results2:
        _, filename2, filehash2 = results2[hostname]
        if filehash != filehash2:
            print(""%s has a change (%s, %s)"" % (
                hostname, filehash, filehash2))
            print(filename)
            print(filename2)
            print()
</code></pre>
","def get_file_info_from_lines(filename, file_lines):
    hostname = None
    a_hash = hashlib.sha1()
    for line in file_lines:
        if ""! Last "" in line:
            line = ''
        if ""! NVRAM "" in line:
            line = ''
        a_hash.update(line.encode('utf-8'))
        match = HOSTNAME_RE.match(line)
        if match:
            hostname = match.group(1)
",<python><regex><python-2.7><file-io>
43788106,9,Convert a list of numbers to ranges,"<p>I have a bunch of numbers, say the following:</p>

<pre><code>1 2 3 4  6 7 8  20 24 28 32
</code></pre>

<p>The information presented there could be represented in Python as ranges:</p>

<pre><code>[range(1, 5), range(6, 9), range(20, 33, 4)]
</code></pre>

<p>In my output I'd write <code>1..4, 6..8, 20..32..4</code>, but that is just a matter of presentation.</p>

<p><a href=""https://stackoverflow.com/a/4629241"">Another answer</a> shows how one can do this for contiguous ranges. I don't see how I can easily do this for strided ranges like above. Is there a similar trick for this?</p>
","def get_ranges(ls):
    N = len(ls)
    while ls:
        # single element remains, yield the trivial range
        if N == 1:
            yield range(ls[0], ls[0] + 1)
            break

        diff = ls[1] - ls[0]
        # find the last index that satisfies the determined difference
        i = next(i for i in range(1, N) if i + 1 == N or ls[i+1] - ls[i] != diff)

        yield range(ls[0], ls[i] + 1, diff)

        # update variables
        ls = ls[i+1:]
        N -= i + 1
",<python>
45163368,6,Least number of perfect square numbers that sums upto n,"<p>The question is:</p>

<blockquote>
  <p>Given a positive integer n, find the least number of perfect square numbers (for example, 1, 4, 9, 16, ...) which sum to n. <a href=""https://leetcode.com/problems/perfect-squares/#/description"" rel=""nofollow noreferrer"">Link</a> to the question</p>
</blockquote>

<p><strong>Example</strong></p>

<p>Given n = 12, return 3 because 12 = 4 + 4 + 4; given n = 13, return 2 because 13 = 4 + 9.</p>

<p><strong>NOTE</strong>  </p>

<blockquote>
  <p>The approach i have taken is similar to an <strong>Integer Knapsack problem with duplicates allowed</strong>. First i calculated all the perfect squares which are less than equal to the number n. Now once i have them, the problem is similar to the Integer Knapsack problem. I have a number n and a list of numbers. i want to choose minimum number of numbers from the list such that their sum is equal to n. This problem has a DP solution which i have used.</p>
  
  <p>Out of 586 test cases, i passed 562 test cases and got <strong>TLE</strong> on the next one. The value of n for that testcase is 3428.</p>
</blockquote>

<p>The solution i submitted:  </p>

<pre><code>class Solution(object):
    def numSquares(self,n):
        if(n == 0):
            return 0
        if(n == 1):
            return 1
        squares = self.findSquares(n) # returns a list of perfect squares &lt;= n
        rows = len(squares)
        cols = n + 1
        mat = []
        for i in range(rows):
            mat.append([0] * cols)

        for i in range(cols):
            mat[0][i] = i

        for i in range(rows):
            mat[i][0] = 0

        min = mat[0][cols - 1]
        for i in range(1,rows):
            for j in range(1,cols):
                if(j &lt; squares[i]):
                    mat[i][j] = mat[i - 1][j]

                else:
                    mat[i][j] = self.min(mat[i - 1][j], (j // squares[i] + (mat[i][j % squares[i]])))
                if(j == cols - 1 and mat[i][j] &lt; min):
                    min = mat[i][j]
        '''
        for i in range(rows):
            for j in range(cols):
                print(mat[i][j],end="" "")
            print()
            '''
        return min

    def min(self,a,b):
        if(a &lt;= b):
            return a
        else:
            return b


    def findSquares(self,n):

        i = 1
        squares = []
        while (i * i &lt;= n):
            squares.append(i * i)
            i = i + 1
        return squares
'''
x = Solution()

print(x.numSquares(43))
'''
</code></pre>

<p>Thanks in advance.</p>
","def numSquares(self,n):
    if(n == 0):
        return 0
    if(n == 1):
        return 1
    squares = self.findSquares(n)
    rows = len(squares)
    cols = n + 1
    mat = [n] * cols
    mat[0] = 0

    for s in squares:
        for j in range(s,cols):
            mat[j] = min(mat[j], 1 + mat[j - s])

    return mat[n]
",<algorithm><python-3.x><data-structures><dynamic-programming><discrete-mathematics>
49282032,4,Best algorithm for converting real number between 0 and 1 to index,"<p>Suppose x is a real number between 0 and 1</p>

<p>If n = 2 there are two fractions ranges 0 to 0.5 and 0.5 to 1</p>

<p>If n = 3 there are three fractions ranges 0 to 0.33, 0.33 to 0.66 and 0.66 to 1</p>

<p>I want to know the most efficient algorithm that tells which fraction x belongs to.</p>

<p>If x = 0.2 and n = 3, x belongs to first fraction so index is 0</p>

<p>If x = 0.4 and n = 3, x belongs to second fraction so index is 1</p>

<p>Here's the python 3 code which has O(N) complexity.</p>

<pre><code>def index(x, n):
  for i in range(0, n):
    if i/n &lt;= x and x &lt;= (i + 1)/n:
      return i
</code></pre>

<p>I want to know if there is a better algorithm may be with constant time?</p>

<p>Edit: I did not explicitly said before but both 0 and 1 is a legit value for x and result should be n - 1 when x = 1</p>
","def index(x, n):
    return int(x*n)
",<python><python-3.x><algorithm>
48730424,4,Split up a number as the sum of two powers,"<p>x is my input. 
I need to find i,j>=0 and  n,m>1 such as <code>x = i**m+j**n</code></p>

<p>For now I have been doing this , but it is way to slow !! How can I improve it ? </p>

<pre><code>from math import sqrt
import numpy as np

def check(x):
    for i in range(1,int(np.ceil(sqrt(x)))):
        for j in range(1,int(np.ceil(sqrt(x)))):
            for m in range(2,x/2+1):
                for n in range(2,x/2+1):
                    if((pow(i,m) +pow(j,n))==x):
                        print 'Yes';
                        return ;
    print 'No';
</code></pre>

<p>thank you ! </p>
","def check(x):
    all_powers = set([1]) #add 1 as a special case

    #find all powers smaller than x 
    for base in range(2,int(math.ceil(sqrt(x)))):
        exponent = 2;
        while pow(base, exponent) &lt; x:
            all_powers.add(pow(base, exponent))
            exponent+=1

    #check if a pair of elements in all_powers adds up to x
    for power in all_powers:
        if (x - power) in all_powers:
            print 'Yes'
            return
    print 'No'
",<python><algorithm><math><optimization>
42103332,4,Changing the letters of a string,"<p>I have to write a code that shifts each letter of a string (cipher) a given number (shift) further through the alphabet.  The code I've written so far is as follows (with an example to test the function):</p>

<pre><code>    def decode(cipher, shift):
        letters = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""
        for letter in cipher:
            index = letters.index(letter)
            cipher = cipher.replace(letter, letters[index-shift])
        return cipher
    print decode(""LIPPSASVPH"", 4)
</code></pre>

<p>It almost works, except what is happening is that as the code runs through cipher, it will change any letter that matches the one it is currently changing, so for my example, it's supposed to return ""HELLOWORLD"" but it instead returns ""DELLOWORLD"" because the last letter of cipher is H, and the code previously changed the L at the beginning of cipher to an H, so then the code changes both H's to D's.  Any suggestions on how to make the code run on each letter individually without changing other letters as well?  Thanks so much, everyone. </p>
","def decode(cipher, shift):
    letters = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""
    result = ''
    for letter in cipher:
        index = letters.index(letter)
        result += letters[index - shift]
        # cipher = cipher.replace(letter, letters[index - shift])
    return result
print decode(""LIPPSASVPH"", 4)
",<python>
46103724,4,Function to join the first 2 elements from each list in a list of lists,"<p>I have this list of lists:</p>

<pre><code>listoflist = [['BOTOS', 'AUGUSTIN', 14, 'March 2016', 600, 'ALOCATIA'], ['HENDRE', 'AUGUSTIN', 14, 'February 2015', 600, 'ALOCATIA']]
</code></pre>

<p>^^ That was just a example, I will have many more lists in my list of lists with the same format. 
This will be my desired output:</p>

<pre><code>listoflist = [['BOTOS AUGUSTIN', 14, 'March 2016', 600, 'ALOCATIA'], ['HENDRE AUGUSTIN', 14, 'February 2015', 600, 'ALOCATIA']]
</code></pre>

<p>Basically in each list I want to join first index with the second to form a full name in one index like in the example.
And I would need a function for that who will take a input a list, how can  I do this in a simple way? (I don't want extra lib for this). I use python 3.5, thank you so much for your time!</p>
","def merge_names(lst):
   for l in lst:
      l[0:2] = [' '.join(l[0:2])]

merge_names(listoflist)
print(listoflist)
# [['BOTOS AUGUSTIN', 14, 'March 2016', 600, 'ALOCATIA'], ['HENDRE AUGUSTIN', 14, 'February 2015', 600, 'ALOCATIA']]
",<python><python-3.x><list>
49224022,3,"Python given an array A of N integers, returns the smallest positive integer (greater than 0) that does not occur in A in O(n) time complexity","<p>I have written two solutions to that problem. The first one is good but I don't want to use any external libraries + its O(n)*log(n) complexity. The second solution ""In which I need your help to optimize it"" gives an error when the input is chaotic sequences length=10005 (with minus).</p>

<p>Solution 1:</p>

<pre><code>from itertools import count, filterfalse 


def minpositive(a):
    return(next(filterfalse(set(a).__contains__, count(1))))
</code></pre>

<p>Solution 2:</p>

<pre><code>def minpositive(a):
    count = 0
    b = list(set([i for i in a if i&gt;0]))
    if min(b, default = 0)  &gt; 1 or  min(b, default = 0)  ==  0 :
        min_val = 1
    else:
        min_val = min([b[i-1]+1 for i, x in enumerate(b) if x - b[i - 1] &gt;1], default=b[-1]+1)

    return min_val
</code></pre>

<blockquote>
  <p>Note: This was a demo test in codility, solution 1 got 100% and
  solution 2 got 77 %.<br>
  Error in ""solution2"" was due to:<br>
  Performance tests ->
  medium  chaotic sequences length=10005 (with minus) got 3 expected
  10000<br>
  Performance tests -> large chaotic + many -1, 1, 2, 3 (with
  minus) got 5 expected 10000</p>
</blockquote>
","def minpositive(a):
    A = set(a)
    ans = 1
    while ans in A:
       ans += 1
    return ans
",<python><python-3.x><algorithm><time-complexity>
53874786,3,How to add values from dictionaries in another dictionary?,"<p>I'm so lost in this small program I want to build... 
I have a scoreboard dictionary where I want to add scores from another dictionary. My code is looking something like this:</p>

<p>Edit: I have to add scores, not replace.</p>

<pre><code>def addScore(scorebord, scores):
    # add values for common keys between scorebord and scores dictionaries
    # include any keys / values which are not common to both dictionaries

def main():
    scorebord = {}

    score = {'a':1,
             'b':2,
             'c':3}

    addScore(scorebord, score)

if __name__ == ""__main__"":
    main()
</code></pre>

<p>Does anyone know how to write this function?</p>
","def addScore(scorebord, scores):
    for key, value in scores.items():
        if key in scorebord:
            scorebord[key] += value
        else:
            scorebord[key] = value

def main():
    scorebord = {}
    score = {'a':1,
             'b':2,
             'c':3}

    addScore(scorebord, score)

if __name__ == ""__main__"":
    main()
",<python><dictionary><add>
